,@BBCWorld_compound,@CBSNews_compound,@CNN_compound,@FoxNews_compound,@nytimes_compound,@BBCWorld_positive,@CBSNews_positive,@CNN_positive,@FoxNews_positive,@nytimes_positive,@BBCWorld,@CBSNews,@CNN,@FoxNews,@nytimes,@BBCWorld_neutral,@CBSNews_neutral,@CNN_neutral,@FoxNews_neutral,@nytimes_neutral,@BBCWorld_id,@CBSNews_id,@CNN_id,@FoxNews_id,@nytimes_id,@BBCWorld_timestamp,@CBSNews_timestamp,@CNN_timestamp,@FoxNews_timestamp,@nytimes_timestamp,@BBCWorld_fulltext,@CBSNews_fulltext,@CNN_fulltext,@FoxNews_fulltext,@nytimes_fulltext
0,-0.8957,-0.91,0.5267,-0.6597,-0.0516,0.0,0.0,0.129,0.0,0.138,0.596,0.434,0.0,0.31,0.148,0.404,0.566,0.871,0.69,0.714,1028301194438033411,1028300030929711106,1028298782209912832,1028304533896810496,1028302533721292800,2018-08-11 15:24:44+00:00,2018-08-11 15:20:06+00:00,2018-08-11 15:15:09+00:00,2018-08-11 15:38:00+00:00,2018-08-11 15:30:03+00:00,Canada gun attack: Man charged after four killed in New Brunswick https://t.co/lXaAQ8Dmb4,President Trump condemns racism and racial violence in a tweet ahead of the anniversary of a deadly white nationali… https://t.co/UM7VHUL2Ds,"President Trump is at one of his resorts again this week, but his team is focused on showing that by golfing and so… https://t.co/R9uzXekbs1","On ""Cavuto Live,"" @charliekirk11 talked about being harassed by far-left protesters in Philadelphia.… https://t.co/ThyACe05hz",Martin Vassilev makes a good living selling fake views on YouTube videos. Here's how he does it. https://t.co/fOxMUOiAFg
1,0.0,-0.1027,0.0,-0.6369,-0.4404,0.0,0.0,0.0,0.0,0.114,0.0,0.072,0.0,0.321,0.212,1.0,0.928,1.0,0.679,0.674,1028299669510737920,1028294927933997056,1028295073300131845,1028303412646084613,1028298781970886656,2018-08-11 15:18:40+00:00,2018-08-11 14:59:50+00:00,2018-08-11 15:00:24+00:00,2018-08-11 15:33:33+00:00,2018-08-11 15:15:09+00:00,Germans held after flooding at 'unauthorised' French campsite https://t.co/7MLH7rNv0y,"President Trump, at his golf club in New Jersey, is intent on projecting he's hard at work: https://t.co/KauIzjbHjX https://t.co/vLTTw5M8xW","""Change has come to America.” Revisit the 2008 presidential campaign and see how it revolutionized American politic… https://t.co/5o9t75nokf",Trump threatens to 'get involved' in fight to obtain McCabe text messages https://t.co/grCb2d3090,"China eased its ""one child"" policy. Facing a demographic crisis, it's considering going even further. https://t.co/hng1gIUqfV"
2,-0.6597,-0.5719,-0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.198,0.11,0.0,0.0,0.672,0.802,0.89,1.0,1.0,1028291041890328576,1028290036943351808,1028290902605877250,1028302675136454660,1028295200781885441,2018-08-11 14:44:23+00:00,2018-08-11 14:40:24+00:00,2018-08-11 14:43:50+00:00,2018-08-11 15:30:37+00:00,2018-08-11 15:00:55+00:00,Weedkiller cancer ruling: What do we know about glyphosate? https://t.co/8BmTNNJfoM,"MORE: ""I will also continue to fight the meritless charges brought against me,"" Rep. Chris Collins said in his stat… https://t.co/qmIB96n9he",JUST IN: New York Republican Rep. Chris Collins suspends his re-election campaign following charges earlier this we… https://t.co/cUXDislTbj,".@seanspicer: ""Everywhere and anywhere that we can find someone either foreign or domestic trying to meddle and und… https://t.co/DlZM1K9O4G","RT @nytopinion: A year ago, torch-carrying white nationalists who opposed a plan to remove a statue of the Confederate general Robert E. Le…"
3,-0.5574,-0.3818,-0.4939,0.3818,0.3612,0.0,0.0,0.0,0.342,0.111,0.434,0.133,0.167,0.0,0.0,0.566,0.867,0.833,0.658,0.889,1028279683631251456,1028285015359193088,1028287453436805121,1028298745107165185,1028291912615247872,2018-08-11 13:59:15+00:00,2018-08-11 14:20:26+00:00,2018-08-11 14:30:08+00:00,2018-08-11 15:15:00+00:00,2018-08-11 14:47:51+00:00,Romania protests: Hundreds injured in anti-government rally https://t.co/thpOVhbINk,Police are blocking off streets and mobilizing hundreds of officers for the anniversary of a deadly white nationali… https://t.co/g5eK2wCRXe,Everything you need to know about the type of plane stolen from the Seattle-Tacoma International Airport… https://t.co/GOQRUwfMHz,GDP growth under President @realDonaldTrump. https://t.co/XMq6b4tP3l,"Wine, tapas, dancing. In Spain, our 52 Places Traveler finds a tempo to match her own. ""I just felt like myself."" https://t.co/4OFj0QPxDm"
4,-0.7184,0.0,0.0,0.7425,0.0,0.0,0.0,0.0,0.343,0.0,0.462,0.0,0.0,0.0,0.0,0.538,1.0,1.0,0.657,1.0,1028273449079373824,1028283119680532481,1028284214393880577,1028296731677491200,1028287879083184128,2018-08-11 13:34:29+00:00,2018-08-11 14:12:54+00:00,2018-08-11 14:17:15+00:00,2018-08-11 15:07:00+00:00,2018-08-11 14:31:49+00:00,Turkey's Erdogan condemns 'shameful' US over detained pastor https://t.co/wFlKicU2Hm,"NEW: Rep. Chris Collins, R-NY, announces he is suspending his congressional re-election campaign in the wake of his… https://t.co/HyQ0nnzZQL",Hawaii House primary is another test of an Ocasio-Cortez style candidate's appeal https://t.co/PBSaK0O4ev https://t.co/Ie7F6WsrYx,".@JohnJamesMI: ""I believe very strongly in service before self, God and country, and faith and family."" https://t.co/gFHG5frGCL","Rep. Chris Collins of New York reversed course and announced he was suspending his re-election campaign, days after… https://t.co/CKmZml0sLt"
5,-0.8402,-0.2023,0.0,-0.5574,0.3182,0.0,0.0,0.169,0.0,0.161,0.286,0.101,0.128,0.153,0.0,0.714,0.899,0.702,0.847,0.839,1028265531827216384,1028279750819753984,1028280172850671617,1028294571615248386,1028284151424843776,2018-08-11 13:03:01+00:00,2018-08-11 13:59:31+00:00,2018-08-11 14:01:12+00:00,2018-08-11 14:58:25+00:00,2018-08-11 14:17:00+00:00,"""There's going to be racism until the day we die""

We asked African Americans in New Orleans what they think about… https://t.co/X88T580GVx","An airline employee stole an empty Horizon Air turboprop plane, took off from Seattle-Tacoma International Airport… https://t.co/djGLKmARgo","Traces of asbestos, lead and other dangerous chemicals were found in a number of popular school supplies in lab tes… https://t.co/V0nK2mYOiC",".@JohnJamesMI: ""Too many people have died for me to have the right to think independently and I'm going to exercise… https://t.co/lgzIdWNje7",Not sure what to do in NYC this weekend? We’ve got you. https://t.co/H0qhoZ84zv
6,-0.3818,0.0,0.5719,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.825,1.0,0.844,1.0,1.0,1028259103032918021,1028274750177595392,1028272573149274112,1028293846650822658,1028280399082999809,2018-08-11 12:37:28+00:00,2018-08-11 13:39:39+00:00,2018-08-11 13:31:00+00:00,2018-08-11 14:55:32+00:00,2018-08-11 14:02:06+00:00,"""Leave immediately and keep far off""

Flying over the disputed South China Sea islands in a US military plane… https://t.co/Lq0NlcR4bw",The launch of NASA's $1.5 billion Parker Solar Probe was scrubbed at the last minute early Saturday because of a te… https://t.co/0knhUD5eoe,McDonald's iconic Happy Meal has been evolving since it was introduced nearly 40 years ago. Some of the options hav… https://t.co/8D7zcHr044,".@JohnJamesMI: ""What our president has done is he's executed economic policies that have benefited all Americans, w… https://t.co/42rTqcUXcW","mmmmmm
peach upside-down cake
mmmmmm
https://t.co/ZNvqrKzqX0"
7,0.0,-0.2263,-0.4215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.352,0.0,0.0,1.0,0.917,0.648,1.0,1.0,1028253366068109312,1028269874743861250,1028265074803335169,1028293149289062400,1028275091388284929,2018-08-11 12:14:41+00:00,2018-08-11 13:20:17+00:00,2018-08-11 13:01:12+00:00,2018-08-11 14:52:46+00:00,2018-08-11 13:41:00+00:00,"Did Melania Trump's parents just take US citizenship with 'chain' migration?

https://t.co/MyrsPQ83KY https://t.co/CiY0xwq6cN","The closure of a ""Tent City"" for migrant boys is delayed for a second time. It will remain open at least two months… https://t.co/CZ0PP00VEZ","Strange ""rogue planet"" travels through space alone https://t.co/Vf91Ul7JO8 https://t.co/l8bboa1ZnV",".@JohnJamesMI: ""The left is very selective in its facts."" https://t.co/lyavqyeNcO",At first he liberated a single shark tooth the size of his palm from a rock with his car keys. “It dawned on me whe… https://t.co/96t1BGzrJP
8,0.7518,0.296,0.0,0.6369,-0.2732,0.445,0.128,0.0,0.224,0.0,0.0,0.0,0.0,0.0,0.174,0.555,0.872,1.0,0.776,0.826,1028249159210549248,1028265545223860224,1028257476632829952,1028292733121847297,1028273616536985600,2018-08-11 11:57:58+00:00,2018-08-11 13:03:04+00:00,2018-08-11 12:31:01+00:00,2018-08-11 14:51:06+00:00,2018-08-11 13:35:09+00:00,"Glyphosate ruling: Weedkiller safe, says Bayer, despite cancer payout https://t.co/gWhNwM2ISC","Issa Rae shares advice from Shonda Rhimes and Ava DuVernay on ""The Late Show” https://t.co/ckbqnzd30n https://t.co/0MB0wQiqrk","The Airlander 10, the world's longest aircraft, has an interior to rival that of a luxury hotel or cruise liner… https://t.co/r1YRFxcO4T",".@JohnJamesMI: ""I'm looking forward to working with @POTUS to make sure we negotiate better trade deals, to make su… https://t.co/Q7iGeToA1e",A Judge Blocked a Medicaid Work Requirement. The White House Is Undeterred. https://t.co/IlDpRe2LFX
9,0.3182,0.0,0.4939,0.3182,0.0,0.135,0.0,0.138,0.108,0.0,0.074,0.0,0.0,0.0,0.0,0.791,1.0,0.862,0.892,1.0,1028246520313905153,1028264814504816640,1028249936998088704,1028292413012537344,1028270083729240065,2018-08-11 11:47:28+00:00,2018-08-11 13:00:10+00:00,2018-08-11 12:01:03+00:00,2018-08-11 14:49:50+00:00,2018-08-11 13:21:06+00:00,"How the current Miss World, India's Manushi Chhillar, is using her fame to change attitudes about menstrual hygiene… https://t.co/6wzcN0nuJI","When asked about President Trump's record on race, Sen. Tim Kaine does not mince words: ""I think he's been a failur… https://t.co/UqgoHCdFUS",Two elderly men who ran away from their retirement home to attend a heavy metal music festival had their plot foile… https://t.co/vZPHspo5Pl,".@JohnJamesMI: ""We need to make sure that we continue to grow our economy, and @SenStabenow has voted against thing… https://t.co/giwgFetUEP",A look at the footprints of the largest California fires since 2000 https://t.co/Owe2oTIsHL
