,Temp,Lat,Humidity,Clouds,Wind,abs_Lat
"chumikan,ru",59.89,54.72,72,0,7.67,54.72
"pisco,pe",64.57,-13.71,85,64,4.76,13.71
"nome,us",89.56,30.04,41,1,8.05,30.04
"saint-philippe,re",67.89,-21.36,68,0,3.36,21.36
"busselton,au",57.64,-33.64,100,80,26.24,33.64
"kapaa,us",85.3,22.08,74,90,19.46,22.08
"bredasdorp,za",48.2,-34.53,87,0,6.93,34.53
"onverwacht,sr",75.2,5.59,94,40,3.36,5.59
"butaritari,ki",84.37,3.07,100,80,8.57,3.07
"rikitea,pf",76.63,-23.12,93,0,20.42,23.12
"vila velha,br",78.8,-3.71,83,75,10.29,3.71
"albany,au",47.83,-35.02,94,92,15.5,35.02
"tuktoyaktuk,ca",50.0,69.44,76,75,6.93,69.44
"hilo,us",78.35,19.71,69,90,10.29,19.71
"dikson,ru",37.66,73.51,100,88,22.77,73.51
"guayaramerin,bo",76.09,-10.82,75,0,2.98,10.82
"los llanos de aridane,es",73.4,28.66,78,48,16.11,28.66
"atuona,pf",78.79,-9.8,100,76,18.75,9.8
"ushuaia,ar",37.4,-54.81,93,90,11.41,54.81
"kodinsk,ru",54.49,58.6,85,48,3.09,58.6
"katsuura,jp",82.4,33.93,83,20,2.24,33.93
"vaini,to",77.0,-21.2,53,20,16.11,21.2
"sao joao da barra,br",71.05,-21.64,100,88,10.36,21.64
"srednekolymsk,ru",66.46,67.46,70,8,3.87,67.46
"thinadhoo,mv",83.83,0.53,100,76,8.23,0.53
"chapais,ca",66.2,49.78,72,90,6.93,49.78
"jamestown,sh",67.9,-15.94,100,80,13.04,15.94
"anadyr,ru",60.8,64.73,82,75,13.42,64.73
"charters towers,au",63.85,-20.07,90,0,5.21,20.07
"yellowknife,ca",71.6,62.45,46,75,13.87,62.45
"puerto ayora,ec",71.59,-0.74,97,0,15.28,0.74
"zhigansk,ru",62.68,66.77,74,24,3.65,66.77
"nenjiang,cn",70.51,49.17,88,64,5.66,49.17
"pevek,ru",54.67,69.7,75,0,2.98,69.7
"keti bandar,pk",80.14,24.14,100,100,22.77,24.14
"aklavik,ca",55.4,68.22,66,90,2.24,68.22
"thompson,ca",71.6,55.74,46,40,11.41,55.74
"pyapon,mm",77.17,16.29,100,92,12.37,16.29
"cururupu,br",79.15,-1.82,81,64,6.67,1.82
"vammala,fi",68.11,61.34,100,0,4.54,61.34
"punta arenas,cl",41.0,-53.16,80,75,14.99,53.16
"orange,au",45.76,-33.28,93,0,4.43,33.28
"narsaq,gl",44.6,60.91,81,92,8.05,60.91
"port alfred,za",60.34,-33.59,93,48,14.05,33.59
"shitanjing,cn",70.33,39.23,81,56,4.99,39.23
"saint-augustin,ca",78.22,45.63,83,90,4.7,45.63
"nantucket,us",75.2,41.28,100,90,12.75,41.28
"saint george,bm",78.8,32.38,69,20,4.7,32.38
"warrnambool,au",51.7,-38.38,100,0,21.32,38.38
"westport,nz",48.73,-41.75,100,92,3.98,41.75
"bluff,nz",50.89,-46.6,95,32,20.2,46.6
"najran,sa",89.6,17.54,25,40,6.93,17.54
"prince rupert,ca",57.2,54.32,93,90,4.7,54.32
"sitka,us",89.59,37.17,40,0,7.45,37.17
"bambous virieux,mu",68.0,-20.34,88,40,5.82,20.34
"devonport,au",41.26,-41.18,90,92,3.42,41.18
"luwuk,id",77.44,-0.95,93,32,5.66,0.95
"fort nelson,ca",82.4,58.81,34,40,3.36,58.81
"la rioja,ar",46.21,-29.41,79,0,3.42,29.41
"hermanus,za",37.03,-34.42,94,20,2.42,34.42
"esperance,au",45.67,-33.86,94,92,20.76,33.86
"novaya igirma,ru",56.83,57.14,90,24,3.53,57.14
"east london,za",63.22,-33.02,100,20,23.78,33.02
"khatanga,ru",47.38,71.98,96,88,16.17,71.98
"kudahuvadhoo,mv",81.31,2.67,100,36,7.23,2.67
"mahebourg,mu",68.0,-20.41,88,40,5.82,20.41
"avarua,ck",77.0,-21.21,57,40,6.93,21.21
"hamilton,bm",78.8,32.3,69,20,4.7,32.3
"maha sarakham,th",74.53,16.19,94,40,8.05,16.19
"greymouth,nz",51.34,-42.45,100,92,10.25,42.45
"wageningen,sr",81.85,5.77,100,8,14.27,5.77
"souris,ca",78.8,46.36,61,75,5.82,46.36
"hualmay,pe",62.86,-11.1,84,44,5.44,11.1
"severo-kurilsk,ru",57.46,50.68,90,64,7.0,50.68
"kukushtan,ru",62.6,57.65,93,75,4.47,57.65
"carnarvon,za",31.18,-30.97,83,0,5.88,30.97
"bowen,au",68.0,-20.01,64,0,4.7,20.01
"xuddur,so",69.61,4.12,81,0,10.13,4.12
"new norfolk,au",41.0,-42.78,75,0,8.05,42.78
"zyryanka,ru",51.16,65.73,99,92,6.22,65.73
"beira,mz",64.4,-19.84,100,0,8.12,19.84
"vire,fr",55.4,48.84,87,0,3.36,48.84
"lompoc,us",75.61,34.64,64,1,17.22,34.64
"arraial do cabo,br",68.0,-22.97,82,75,6.93,22.97
"akureyri,is",50.0,65.68,81,40,3.36,65.68
"taoudenni,ml",89.05,22.68,15,0,10.8,22.68
"qaanaaq,gl",39.37,77.48,89,0,3.76,77.48
"pilar,ph",77.71,17.42,90,32,3.42,17.42
"canutama,br",77.8,-6.53,93,36,2.42,6.53
"torquay,au",65.56,-25.28,97,0,6.55,25.28
"oktyabrskoye,ru",44.41,56.73,87,12,2.42,56.73
"saskylakh,ru",50.17,71.97,77,0,11.92,71.97
"ribeira grande,pt",75.19,38.52,98,8,3.76,38.52
"tura,ru",45.67,64.27,100,92,2.3,64.27
"aguilares,sv",83.62,13.96,62,90,20.8,13.96
"mehamn,no",66.2,71.03,77,0,4.7,71.03
"khasan,ru",77.53,42.43,79,0,3.09,42.43
"natal,br",77.0,-5.81,78,20,8.05,5.81
"zemio,cf",66.19,5.02,96,32,2.64,5.02
"kavaratti,in",80.41,10.57,100,48,12.15,10.57
"camacha,pt",69.8,33.08,64,75,13.87,33.08
"tala,eg",71.23,30.68,95,0,2.86,30.68
"green river,us",80.6,41.53,19,75,18.34,41.53
"nhulunbuy,au",77.0,-12.18,78,0,6.93,12.18
"nizwa,om",81.04,22.93,34,0,4.65,22.93
"mar del plata,ar",39.46,-46.43,82,0,5.99,46.43
"lasem,id",73.4,-6.99,88,20,2.24,6.99
"conde,br",74.65,-11.81,86,92,7.67,11.81
"hasaki,jp",86.88,35.73,66,75,2.24,35.73
"inhambane,mz",69.16,-23.87,87,0,15.5,23.87
"rawson,ar",37.75,-43.3,72,0,7.0,43.3
"vila franca do campo,pt",69.8,37.72,83,20,3.36,37.72
"hithadhoo,mv",83.2,-0.6,100,92,9.46,0.6
"samarai,pg",78.16,-10.62,100,92,12.71,10.62
"guadix,es",75.2,37.3,44,0,1.63,37.3
